model,step,timestamp,combined_pvalue
EquiformerV2,30,2025-10-01T15:59:42.310851,1.751892163738e-28
EquiformerV2,40,2025-10-01T16:37:01.338309,5.232213418272e-127
EquiformerV2,50,2025-10-01T17:14:15.459704,3.777142005039e-34
EquiformerV2,60,2025-10-01T17:51:10.847023,1.533617597194e-51
EquiformerV2,70,2025-10-01T18:27:56.567301,3.635557568664e-19
EquiformerV2,80,2025-10-01T19:04:37.971570,1.598891933829e-71
EquiformerV2,90,2025-10-01T19:41:18.958841,3.517447659101e-74
EquiformerV2,100,2025-10-01T20:18:00.937142,9.988491788448e-28
EquiformerV2,110,2025-10-01T20:53:40.303000,2.175575312052e-26
EquiformerV2,120,2025-10-01T21:29:38.335962,1.271048874887e-14
EquiformerV2,130,2025-10-01T22:06:29.028298,8.205754609889e-02
EquiformerV2,140,2025-10-01T22:43:33.330736,4.111713981848e-09
EquiformerV2,150,2025-10-01T23:18:38.705387,4.563471757212e-02
EquiformerV2,160,2025-10-01T23:43:02.771875,4.288636212787e-01
EquiformerV2,170,2025-10-02T00:01:01.022859,5.092118000399e-22
EquiformerV2,180,2025-10-02T00:19:08.412897,5.496383596472e-10
EquiformerV2,190,2025-10-02T00:37:11.758907,5.238977213867e-02
EquiformerV2,200,2025-10-02T00:55:22.699967,7.908355168183e-04
Ponita,10,2025-09-29T12:37:27.877318,1.617957681483e-19
Ponita,20,2025-09-29T12:43:17.672658,1.033879478231e-56
Ponita,30,2025-09-29T12:49:04.712979,8.691824239396e-24
Ponita,40,2025-09-29T12:54:52.489306,5.093444790252e-12
Ponita,50,2025-09-29T13:00:39.465627,4.554840450420e-24
Ponita,60,2025-09-29T13:06:26.409947,9.744016010763e-03
Ponita,70,2025-09-29T13:12:14.851278,5.058124472409e-31
Ponita,80,2025-09-29T13:18:03.116608,6.665612246854e-10
Ponita,90,2025-09-29T13:23:50.660933,1.638193482427e-18
Ponita,100,2025-09-29T13:29:37.457253,3.414379776497e-11
Ponita,110,2025-09-29T13:35:25.084578,2.481489266101e-08
Ponita,120,2025-09-29T13:41:12.868904,4.859814402825e-02
Ponita,130,2025-09-29T13:47:01.168234,5.297497513456e-04
Ponita,140,2025-09-29T13:52:48.833560,6.486482477538e-11
Ponita,150,2025-09-29T13:58:36.607886,1.062732759269e-11
Ponita,160,2025-09-29T14:04:23.366194,6.858073824585e-12
Ponita,170,2025-09-29T14:10:10.586498,2.727223346099e-09
Ponita,180,2025-09-29T14:15:55.684788,4.758486233104e-02
Ponita,190,2025-09-29T14:21:42.771091,1.811998489836e-20
Ponita,200,2025-09-29T14:27:30.274396,6.209533325032e-01
Ponita,210,2025-09-29T14:33:17.728702,2.485949072696e-11
Ponita,220,2025-09-29T14:39:05.639010,6.762797688979e-01
Ponita,230,2025-09-29T14:44:53.040316,8.592741616260e-01
Ponita,240,2025-09-29T14:50:40.606622,3.921887901238e-05
Ponita,250,2025-09-29T14:56:28.885940,2.345298610095e-01
Ponita,260,2025-09-29T15:02:16.129254,9.247629267412e-03
Ponita,270,2025-09-29T15:08:02.728563,3.180590433308e-01
Ponita,280,2025-09-29T15:13:50.075877,7.287700662600e-08
Ponita,290,2025-09-29T15:19:37.493192,9.718497179196e-03
Ponita,300,2025-09-29T15:25:26.011514,9.154405731802e-10
Ponita,310,2025-09-29T15:31:14.001833,2.268465559906e-11
Ponita,320,2025-09-29T15:37:01.800150,9.362356855117e-01
Ponita,330,2025-09-29T15:42:50.030470,1.222390495302e-10
Ponita,340,2025-09-29T15:48:37.939789,4.361842576838e-06
Ponita,350,2025-09-29T15:54:25.406104,1.023765285891e-04
Ponita,360,2025-09-29T16:00:13.917426,6.107895530020e-02
Ponita,370,2025-09-29T16:06:01.837744,4.640515627776e-12
Ponita,380,2025-09-29T16:11:49.640061,3.753990385278e-17
Ponita,390,2025-09-29T16:17:37.584379,1.021613834840e-03
Ponita,400,2025-09-29T16:23:25.117695,7.325467266279e-01
Ponita,410,2025-09-29T16:29:12.893012,1.873854279905e-03
Ponita,420,2025-09-29T16:34:59.243320,4.273983489759e-05
Ponita,430,2025-09-29T16:40:43.998617,1.125747629892e-05
Ponita,440,2025-09-29T16:46:29.493919,1.985382445805e-02
Ponita,450,2025-09-29T16:52:18.279243,1.004183594270e-02
Ponita,460,2025-09-29T16:58:06.488563,5.519839964538e-03
Ponita,470,2025-09-29T17:03:54.985885,9.964962667741e-01
Ponita,480,2025-09-29T17:09:42.393199,1.364565652868e-08
Ponita,490,2025-09-29T17:15:30.114516,8.964727983582e-02
