model,step,timestamp,combined_pvalue
Graph Transformer,10,2025-10-01T03:14:27.583014,2.767938688797e-66
Graph Transformer,20,2025-10-01T03:18:54.107702,3.771449469752e-31
Graph Transformer,30,2025-10-01T03:23:42.112526,1.081057940002e-22
Graph Transformer,40,2025-10-01T03:28:31.827361,2.632326630672e-40
Graph Transformer,50,2025-10-01T03:33:23.160206,4.235324788163e-51
Graph Transformer,60,2025-10-01T03:38:16.352062,1.135102073015e-06
Graph Transformer,70,2025-10-01T03:43:09.210915,3.455471067622e-41
Graph Transformer,80,2025-10-01T03:48:00.522758,2.493869300447e-33
Graph Transformer,90,2025-10-01T03:52:51.052596,3.069418668747e-59
Graph Transformer,100,2025-10-01T03:57:42.739441,1.121563909985e-11
Graph Transformer,110,2025-10-01T04:02:32.253272,4.842561241200e-46
Graph Transformer,120,2025-10-01T04:07:22.461107,1.004220056639e-17
Graph Transformer,130,2025-10-01T04:12:14.413953,1.085288822492e-09
Graph Transformer,140,2025-10-01T04:17:06.487801,5.262157016366e-19
Graph Transformer,150,2025-10-01T04:21:58.560649,1.811900186621e-18
Graph Transformer,160,2025-10-01T04:26:50.483495,7.273772877484e-16
Graph Transformer,170,2025-10-01T04:31:42.675345,8.154876411745e-10
Graph Transformer,180,2025-10-01T04:36:34.600194,1.496139569063e-91
Graph Transformer,190,2025-10-01T04:41:26.508043,1.871083272004e-44
Graph Transformer,200,2025-10-01T04:46:17.824888,6.204859521817e-39
Graph Transformer,210,2025-10-01T04:51:09.366739,1.454510398636e-19
Graph Transformer,220,2025-10-01T04:56:00.248585,6.978603286374e-36
Graph Transformer,230,2025-10-01T05:00:50.892429,1.747694741042e-06
Graph Transformer,240,2025-10-01T05:05:41.181277,5.472328810208e-29
Graph Transformer,250,2025-10-01T05:10:31.899131,1.220338730911e-28
Graph Transformer,260,2025-10-01T05:15:23.388990,2.959822591732e-28
Graph Transformer,270,2025-10-01T05:20:15.112850,4.258319562553e-08
Graph Transformer,280,2025-10-01T05:25:08.031730,1.854176533882e-41
Graph Transformer,290,2025-10-01T05:29:59.713603,3.177490169051e-06
Graph Transformer,300,2025-10-01T05:34:51.403475,9.082666198010e-30
Graph Transformer,310,2025-10-01T05:39:44.807365,6.108701304579e-22
Graph Transformer,320,2025-10-01T05:44:36.250251,1.683843726089e-23
Graph Transformer,330,2025-10-01T05:49:28.619143,4.325579073543e-23
Graph Transformer,340,2025-10-01T05:54:20.256030,3.474448228272e-19
Graph Transformer,350,2025-10-01T05:59:11.853926,2.737950356334e-09
Graph Transformer,360,2025-10-01T06:04:03.241821,4.332142712518e-37
Graph Transformer,370,2025-10-01T06:08:54.338713,1.364764945943e-11
Graph Transformer,380,2025-10-01T06:13:45.169604,7.648738383741e-24
Graph Transformer,390,2025-10-01T06:18:37.510504,3.178248777710e-22
Graph Transformer,400,2025-10-01T06:23:28.160392,1.766736195862e-30
Graph Transformer,410,2025-10-01T06:28:20.619293,3.165775021182e-09
Graph Transformer,420,2025-10-01T06:33:12.597187,1.472531126459e-13
Graph Transformer,430,2025-10-01T06:38:05.658087,5.103539681539e-12
Graph Transformer,440,2025-10-01T06:42:57.848982,8.667856918820e-11
Graph Transformer,450,2025-10-01T06:47:50.547878,3.743214371362e-07
Graph Transformer,460,2025-10-01T06:52:42.400764,7.196012500113e-27
Graph Transformer,470,2025-10-01T06:57:33.117643,1.425747365866e-11
Graph Transformer,480,2025-10-01T07:02:24.031523,2.354196175965e-10
Graph Transformer,490,2025-10-01T07:07:15.975444,1.113113298334e-29
Graph Transformer,500,2025-10-01T07:12:08.155376,1.597606544093e-21
Graph Transformer,510,2025-10-01T07:16:59.482302,8.184987064363e-23
Graph Transformer,520,2025-10-01T07:21:50.795228,1.661089105049e-07
Graph Transformer,530,2025-10-01T07:26:41.944151,5.446912770965e-11
Graph Transformer,540,2025-10-01T07:31:33.268074,6.028542292936e-10
Graph Transformer,550,2025-10-01T07:36:24.747999,6.379144783222e-17
Graph Transformer,560,2025-10-01T07:41:15.356999,3.994811615017e-19
Graph Transformer,570,2025-10-01T07:46:05.873038,4.539662191495e-11
Graph Transformer,580,2025-10-01T07:50:57.093081,7.101369625811e-15
